30165;868678;
22687;1429470;
22684;1429392;
22685;1429400;
22676;1429374;
22665;1429324;
22668;1429335;
22662;1429328;
22662;1429324;
22662;1429305;
22660;1429301;
22660;1429288;
22662;1429295;
22658;1429299;
22646;1429279;
22652;1429289;
22653;1429289;
22647;1429277;
22654;1429269;
22646;1429285;
22650;1429284;
22651;1429295;
22641;1429290;
22647;1429293;
22646;1429293;
22649;1429306;
22642;1429299;
22654;1429285;
22650;1429303;
22645;1429297;
22649;1429291;
22649;1429297;
22643;1429289;
22648;1429287;
22647;1429291;
22641;1429294;
22643;1429298;
22642;1429287;
22650;1429289;
22642;1429298;
22641;1429291;
22648;1429278;
22654;1429292;
22645;1429296;
22651;1429303;
22658;1429308;
22648;1429315;
22652;1429325;
22649;1429331;
22651;1429335;
22656;1429338;
22658;1429343;
22662;1429342;
22655;1429356;
22655;1429379;
22657;1429396;
22657;1429405;
22650;1429382;
22659;1429365;
22661;1429355;
22650;1429323;
22654;1429294;
22650;1429279;
22649;1429272;
22648;1429262;
22652;1429253;
22632;1429258;
22640;1429240;
22639;1429250;
22639;1429253;
22638;1429253;
22636;1429265;
22634;1429257;
22636;1429266;
22636;1429267;
22638;1429264;
22641;1429269;
22634;1429284;
22638;1429279;
22645;1429280;
22643;1429284;
22646;1429285;
22654;1429300;
22648;1429302;
22648;1429299;
22647;1429309;
22645;1429303;
22641;1429300;
22644;1429300;
22646;1429290;
22640;1429287;
22641;1429265;
22649;1429262;
22636;1429252;
22640;1429266;
22644;1429266;
22642;1429262;
22644;1429264;
22634;1429272;
22632;1429268;
22643;1429262;
22642;1429271;
22647;1429269;
22644;1429277;
22641;1429276;
22648;1429275;
22650;1429278;
22642;1429283;
22642;1429282;
22645;1429287;
22644;1429300;
22647;1429306;
22648;1429324;
22653;1429321;
22655;1429337;
22648;1429353;
22660;1429354;
22652;1429367;
22656;1429354;
22659;1429357;
22651;1429354;
22653;1429361;
22652;1429358;
22657;1429357;
22654;1429354;
22654;1429359;
22660;1429364;
22654;1429360;
22650;1429368;
22659;1429375;
22651;1429376;
22657;1429370;
22661;1429388;
22659;1429384;
22661;1429375;
22651;1429389;
22656;1429377;
22655;1429382;
22658;1429382;
22650;1429375;
22655;1429379;
22653;1429372;
22651;1429362;
22660;1429356;
22646;1429342;
22654;1429326;
22648;1429300;
22643;1429279;
22651;1429261;
22642;1429262;
22642;1429257;
22650;1429264;
22645;1429259;
22644;1429268;
22636;1429274;
22642;1429282;
22641;1429284;
22648;1429285;
22650;1429290;
22646;1429287;
22652;1429294;
22648;1429306;
22654;1429311;
22648;1429316;
22650;1429324;
22645;1429330;
22645;1429326;
22654;1429342;
22655;1429350;
22653;1429352;
22655;1429353;
22652;1429369;
22650;1429365;
22659;1429373;
22655;1429378;
22663;1429378;
22661;1429374;
22663;1429376;
22659;1429387;
22658;1429384;
22660;1429386;
22667;1429391;
22672;1429398;
22662;1429401;
22666;1429403;
22666;1429397;
22675;1429403;
22676;1429421;
22667;1429415;
22673;1429431;
22670;1429420;
22672;1429432;
22671;1429441;
22674;1429438;
22668;1429456;
22673;1429444;
22675;1429459;
22674;1429458;
22674;1429460;
